Index,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMSOS,OppOSOS,OppDSOS,AdjEMNCSOS
1,1,Virginia,ACC,31-2,+32.15,116.5,84.4,59.2,+.032,+9.99,110.9,100.9,+0.22
2,2,Villanova,BE,30-4,+31.41,127.4,96.0,68.3,-.018,+10.23,111.3,101.1,+4.11
3,3,Duke,ACC,26-7,+29.13,122.6,93.5,70.0,-.029,+10.90,111.0,100.1,+4.61
4,4,Cincinnati,Amer,30-4,+27.00,113.2,86.2,64.7,-.004,+3.18,107.0,103.8,-4.14
5,5,Purdue,B10,28-6,+26.67,123.2,96.6,67.2,+.003,+8.55,109.3,100.8,+0.91
6,6,Michigan St.,B10,29-4,+26.35,120.0,93.6,67.1,+.048,+6.50,109.0,102.5,-4.70
7,7,North Carolina,ACC,25-10,+25.03,122.0,96.9,71.0,-.019,+14.05,112.5,98.4,+7.99
8,8,Gonzaga,WCC,30-4,+24.74,119.8,95.1,69.0,-.006,+0.95,106.6,105.6,+3.24
9,9,Kansas,B12,27-7,+23.24,120.9,97.7,68.4,+.060,+11.49,111.7,100.2,+3.71
10,10,Michigan,B10,28-7,+23.19,115.9,92.7,64.4,+.037,+8.78,111.1,102.3,-4.60
11,11,Tennessee,SEC,25-8,+22.15,114.8,92.7,66.2,+.040,+11.62,112.2,100.5,+7.56
12,12,Texas Tech,B12,24-9,+21.94,114.0,92.1,66.6,-.021,+9.26,110.4,101.1,-5.12
13,13,West Virginia,B12,24-10,+21.77,119.2,97.4,69.0,-.009,+10.48,109.9,99.5,-4.24
14,14,Xavier,BE,28-5,+21.69,120.7,99.0,70.4,+.109,+9.62,110.3,100.7,+2.09
15,15,Ohio St.,B10,24-8,+21.11,116.2,95.0,66.4,+.027,+8.16,109.8,101.6,+0.41
16,16,Auburn,SEC,25-7,+20.63,118.2,97.6,72.3,-.012,+7.53,109.1,101.5,-1.75
17,17,Houston,Amer,26-7,+20.54,115.8,95.2,68.2,-.009,+3.39,106.7,103.3,-2.71
18,18,Kentucky,SEC,24-10,+20.41,116.4,96.0,68.6,-.001,+11.17,111.1,99.9,+5.05
19,19,Clemson,ACC,23-9,+20.27,113.8,93.5,65.6,+.004,+9.76,110.9,101.1,-1.85
20,20,Wichita St.,Amer,25-7,+20.07,121.9,101.9,68.6,-.015,+5.55,107.9,102.3,+2.05
21,21,Arizona,P12,27-7,+19.37,119.0,99.6,67.3,+.025,+6.33,108.9,102.6,+2.82
22,22,TCU,B12,21-11,+18.92,120.6,101.7,68.7,-.058,+9.82,111.5,101.6,-0.43
23,23,Florida,SEC,20-12,+18.71,115.1,96.4,66.8,-.049,+10.74,110.7,100.0,+4.49
24,24,Nevada,MWC,27-7,+18.18,119.9,101.7,69.5,-.028,+4.45,107.3,102.9,+4.20
25,25,Butler,BE,20-13,+17.87,115.8,97.9,67.8,-.037,+10.58,111.9,101.3,+0.27
26,26,Seton Hall,BE,21-11,+17.34,116.3,99.0,69.3,-.020,+9.58,110.4,100.9,+0.42
27,27,Creighton,BE,21-11,+17.28,116.5,99.2,70.8,-.018,+9.23,111.1,101.9,-3.82
28,28,Saint Mary's,WCC,28-5,+17.16,119.8,102.7,63.8,-.003,-1.40,104.6,106.0,-3.66
29,29,Penn St.,B10,21-13,+17.10,113.1,96.0,67.6,-.078,+6.76,109.4,102.7,-6.04
30,30,Texas A&M,SEC,20-12,+16.91,111.2,94.3,69.0,-.007,+11.34,112.1,100.8,+5.29
31,31,Notre Dame,ACC,20-14,+16.82,116.1,99.3,65.0,-.055,+9.76,110.8,101.0,-1.19
32,32,Virginia Tech,ACC,21-11,+16.64,115.0,98.4,68.7,-.003,+8.18,109.9,101.7,-9.57
33,33,Louisville,ACC,20-13,+16.59,113.1,96.6,69.7,-.020,+9.59,110.5,100.9,-2.03
34,34,Baylor,B12,18-14,+16.16,111.2,95.0,66.4,-.068,+11.02,112.1,101.1,-3.54
35,35,Florida St.,ACC,20-11,+15.82,115.8,100.0,71.6,-.032,+7.99,109.2,101.2,-6.72
36,36,Miami FL,ACC,22-9,+15.71,113.3,97.6,67.1,+.034,+8.17,109.6,101.4,-3.58
37,37,Arkansas,SEC,23-11,+15.63,117.3,101.7,69.7,+.062,+10.15,111.0,100.9,+1.30
38,38,Missouri,SEC,20-12,+15.47,113.3,97.8,65.6,-.021,+9.60,110.1,100.5,+1.30
39,39,Texas,B12,19-14,+15.46,109.4,93.9,65.2,-.018,+11.77,111.7,99.9,+2.19
40,40,USC,P12,23-11,+15.29,115.4,100.1,67.5,-.014,+5.97,108.9,102.9,+1.80
41,41,Loyola Chicago,MVC,28-5,+15.14,111.3,96.2,65.3,+.058,+0.07,103.8,103.7,-5.63
42,42,North Carolina St.,ACC,21-11,+15.13,116.4,101.3,71.4,+.007,+7.64,108.9,101.3,-9.44
43,43,Davidson,A10,21-11,+14.91,117.4,102.5,64.2,-.051,+1.88,105.9,104.0,+1.71
44,44,Kansas St.,B12,22-11,+14.75,112.2,97.4,65.5,+.056,+9.20,111.4,102.2,-6.03
45,45,Arizona St.,P12,20-11,+14.71,117.7,102.9,71.6,-.072,+5.80,108.1,102.3,+1.53
46,46,Maryland,B10,19-13,+14.66,114.1,99.4,66.2,-.046,+8.07,109.2,101.1,-4.43
47,47,Oklahoma,B12,18-13,+14.42,115.1,100.7,75.8,+.005,+11.96,111.9,99.9,+2.24
48,48,UCLA,P12,21-11,+14.38,116.4,102.1,70.5,-.019,+6.91,108.7,101.8,+3.56
49,49,Rhode Island,A10,25-7,+14.38,111.7,97.3,68.7,+.037,+2.69,107.4,104.7,+4.06
50,50,San Diego St.,MWC,22-10,+14.15,111.3,97.1,68.7,-.015,+3.37,107.5,104.2,-0.17
51,51,Alabama,SEC,19-15,+13.83,108.5,94.6,68.8,+.000,+11.03,111.0,100.0,+3.02
52,52,Middle Tennessee,CUSA,24-7,+13.78,110.4,96.7,66.3,-.000,+2.69,107.4,104.7,+8.27
53,53,Marquette,BE,19-13,+13.74,119.3,105.6,69.1,+.018,+10.61,111.8,101.2,-0.18
54,54,Syracuse,ACC,20-13,+13.59,107.7,94.1,63.4,+.007,+8.72,111.0,102.2,-0.23
55,55,New Mexico St.,WAC,28-5,+13.56,108.5,94.9,68.2,+.032,-1.51,104.2,105.8,+4.19
56,56,Oklahoma St.,B12,19-14,+13.48,112.1,98.7,68.5,-.007,+10.21,111.7,101.5,-5.02
57,57,Nebraska,B10,22-10,+13.43,111.0,97.5,67.5,+.066,+6.65,108.6,101.9,-3.18
58,58,Boise St.,MWC,23-8,+13.13,110.6,97.5,68.4,+.011,+2.21,106.9,104.7,-1.60
59,59,Murray St.,OVC,26-5,+12.70,113.1,100.4,67.3,-.013,-4.19,102.8,107.0,-0.76
60,60,Western Kentucky,CUSA,24-10,+12.55,113.6,101.1,68.7,-.006,+2.01,106.2,104.2,+3.91
61,61,LSU,SEC,17-14,+12.47,115.6,103.2,68.2,-.030,+8.74,110.4,101.7,-2.71
62,62,Mississippi St.,SEC,22-11,+12.36,109.6,97.3,67.6,+.029,+6.06,108.5,102.4,-10.42
63,63,Providence,BE,21-13,+11.92,108.9,97.0,67.1,+.088,+10.42,112.0,101.6,-1.02
64,64,Georgia,SEC,18-15,+11.91,107.8,95.9,64.4,+.010,+10.66,111.8,101.1,+0.95
65,65,Utah,P12,19-11,+11.88,111.9,100.0,65.6,+.015,+6.17,109.1,103.0,-0.80
66,66,Louisiana Lafayette,SB,27-6,+11.37,113.5,102.1,70.3,+.045,-2.81,103.5,106.3,-0.37
67,67,South Dakota,Sum,26-8,+11.36,110.1,98.8,70.3,-.047,-2.41,105.4,107.8,-1.32
68,68,Old Dominion,CUSA,25-7,+11.33,108.7,97.4,64.4,+.041,-1.74,104.4,106.2,-3.25
69,69,St. Bonaventure,A10,25-7,+11.20,112.3,101.1,69.2,+.077,+2.20,107.0,104.8,+1.43
70,70,BYU,WCC,24-10,+10.97,109.0,98.1,67.3,+.021,+0.90,107.0,106.1,-1.89
71,71,Montana,BSky,26-7,+10.83,110.1,99.3,68.0,-.005,-2.18,104.3,106.5,+2.52
72,72,Vermont,AE,27-7,+10.76,114.1,103.4,63.8,-.051,-3.73,102.6,106.3,+4.70
73,73,Boston College,ACC,19-15,+10.72,113.8,103.1,70.1,+.005,+8.27,109.4,101.1,-6.88
74,74,Wisconsin,B10,15-18,+10.62,110.0,99.4,62.7,-.068,+10.06,111.3,101.3,+0.14
75,75,South Dakota St.,Sum,28-6,+10.59,114.6,104.0,70.3,+.111,-0.10,106.1,106.2,+3.91
76,76,Oregon,P12,22-12,+10.57,110.9,100.3,66.7,+.010,+3.84,108.3,104.4,-5.92
77,77,Buffalo,MAC,26-8,+10.49,114.3,103.8,72.8,-.005,-1.02,104.8,105.8,+4.08
78,78,Indiana,B10,16-15,+10.40,109.7,99.3,66.6,-.025,+8.04,110.1,102.0,-2.39
79,79,Fresno St.,MWC,21-11,+10.20,110.1,99.9,66.6,-.057,+1.24,106.3,105.1,-5.85
80,80,St. John's,BE,16-17,+10.09,106.7,96.6,69.3,-.016,+11.24,112.0,100.7,+3.63
81,81,South Carolina,SEC,17-16,+9.99,105.8,95.8,68.6,+.003,+9.98,110.5,100.6,+0.92
82,82,UNC Greensboro,SC,27-7,+9.06,105.7,96.6,65.0,-.011,-4.99,103.6,108.6,-3.23
83,83,Belmont,OVC,24-9,+9.02,113.0,104.0,66.9,-.004,-3.05,103.5,106.6,+1.55
84,84,Stanford,P12,18-15,+8.80,108.5,99.7,70.4,+.014,+6.74,109.9,103.2,+4.13
85,85,SMU,Amer,17-16,+8.78,109.9,101.1,64.2,-.102,+2.80,105.9,103.1,-3.76
86,86,Temple,Amer,17-15,+8.29,109.1,100.8,67.6,+.039,+8.43,109.2,100.8,+9.23
87,87,Northwestern,B10,15-17,+8.27,109.3,101.0,63.8,-.068,+8.82,109.4,100.6,-1.61
88,88,Vanderbilt,SEC,12-20,+8.08,115.6,107.5,65.8,-.080,+11.50,111.4,99.9,+4.63
89,89,Wake Forest,ACC,11-20,+8.00,111.1,103.1,69.4,-.120,+9.36,109.9,100.5,-1.16
90,90,Iowa,B10,14-19,+7.92,116.7,108.8,70.3,-.090,+8.30,109.7,101.4,-3.85
91,91,Utah Valley,WAC,22-10,+7.92,111.0,103.1,67.7,+.007,-1.53,102.9,104.5,+1.80
92,92,East Tennessee St.,SC,25-9,+7.53,105.6,98.1,67.6,-.000,-3.87,104.1,107.9,-1.33
93,93,Furman,SC,23-10,+7.42,109.3,101.9,68.6,-.005,-4.24,103.5,107.7,-0.68
94,94,Oregon St.,P12,16-16,+7.38,108.8,101.5,65.5,-.083,+3.63,107.9,104.3,-6.98
95,95,Northern Kentucky,Horz,22-9,+7.30,108.2,100.9,68.5,-.065,-5.08,102.4,107.5,+1.99
96,96,Georgia St.,SB,24-10,+7.21,109.0,101.8,66.9,-.022,-2.79,103.7,106.5,-2.88
97,97,Northeastern,CAA,23-10,+7.18,107.9,100.8,67.0,+.030,-1.16,106.6,107.8,+4.33
98,98,Washington,P12,20-12,+7.01,106.3,99.3,69.5,+.080,+4.77,108.6,103.8,+0.17
99,99,Georgetown,BE,15-15,+6.94,109.8,102.9,70.4,-.046,+6.08,108.6,102.5,-17.96
100,100,Bucknell,Pat,25-9,+6.81,109.2,102.4,71.4,+.020,-4.85,102.9,107.7,+6.15
101,101,DePaul,BE,11-20,+6.74,104.8,98.0,69.8,-.103,+9.79,111.6,101.8,-4.06
102,102,New Mexico,MWC,19-15,+6.66,113.7,107.0,71.3,-.022,+3.11,106.5,103.4,+1.85
103,103,Illinois,B10,14-18,+6.58,109.9,103.3,69.9,-.093,+7.51,108.6,101.1,-2.87
104,104,Iowa St.,B12,13-18,+6.57,110.2,103.6,68.9,-.009,+11.00,111.0,100.0,-2.87
105,105,Mississippi,SEC,12-20,+6.53,111.5,105.0,70.0,-.053,+10.04,110.3,100.2,+1.01
106,106,UNLV,MWC,20-13,+6.52,111.7,105.2,72.3,-.012,+1.22,106.5,105.3,-4.71
107,107,Tulsa,Amer,19-12,+6.18,108.6,102.4,67.2,+.029,+1.08,106.1,105.1,-1.74
108,108,Northern Colorado,BSky,22-12,+6.13,107.4,101.3,71.2,-.044,-0.94,105.5,106.4,+1.94
109,109,UCF,Amer,19-13,+5.80,99.2,93.4,64.4,+.062,+2.97,107.1,104.1,-2.11
110,110,Colorado,P12,17-15,+5.68,105.4,99.7,67.7,+.068,+6.94,110.8,103.9,+0.38
111,111,Stephen F. Austin,Slnd,28-6,+5.56,105.0,99.4,71.1,+.037,-7.58,100.8,108.4,-2.05
112,112,Grand Canyon,WAC,22-11,+5.50,102.4,96.9,69.0,-.055,-6.46,100.3,106.8,-10.88
113,113,UAB,CUSA,20-13,+5.47,109.5,104.1,67.6,-.047,-1.50,104.5,106.0,-6.79
114,114,Marshall,CUSA,24-10,+5.38,109.3,103.9,74.8,+.040,-1.67,104.8,106.4,-6.83
115,115,Wyoming,MWC,20-13,+5.11,105.9,100.8,73.5,+.068,+3.85,107.8,104.0,+2.78
116,116,Georgia Tech,ACC,13-19,+5.03,104.0,98.9,66.1,-.022,+8.49,109.3,100.8,-5.63
117,117,Saint Joseph's,A10,16-16,+5.02,105.8,100.7,70.5,-.052,+0.92,105.9,105.0,+1.97
118,118,Minnesota,B10,15-17,+5.00,109.0,104.0,69.8,-.020,+7.07,109.3,102.2,-4.76
119,119,Toledo,MAC,23-11,+4.94,114.1,109.1,68.4,+.049,-2.02,104.2,106.2,-1.99
120,120,College of Charleston,CAA,26-7,+4.73,109.9,105.2,64.6,+.049,-4.61,104.9,109.5,-7.46
121,121,UC Santa Barbara,BW,23-9,+4.69,111.9,107.2,66.6,+.034,-3.17,102.5,105.7,-0.10
122,122,Missouri St.,MVC,18-15,+4.59,108.5,103.9,65.4,-.046,+1.14,104.4,103.2,-2.78
123,123,Northern Iowa,MVC,16-16,+4.27,103.3,99.1,62.6,-.032,+4.65,107.2,102.6,+6.42
124,124,San Diego,WCC,18-13,+3.96,104.0,100.1,66.8,-.020,+0.50,105.4,104.9,-2.56
125,125,Bradley,MVC,20-13,+3.77,104.5,100.8,65.7,+.042,+1.16,105.2,104.0,-4.23
126,126,Idaho,BSky,22-9,+3.72,109.5,105.8,65.6,+.039,-3.51,103.7,107.3,-2.68
127,127,Penn,Ivy,24-8,+3.70,103.6,99.9,68.9,+.078,-4.63,103.7,108.3,-2.77
128,128,UC Davis,BW,22-10,+3.60,104.7,101.1,66.5,+.045,-1.03,104.1,105.1,+4.58
129,129,Eastern Washington,BSky,20-14,+3.48,108.3,104.9,66.1,-.007,+0.20,105.7,105.5,+6.83
130,130,Canisius,MAAC,21-11,+3.47,107.8,104.3,68.7,-.019,-4.47,103.0,107.5,-2.65
131,131,UT Arlington,SB,21-13,+3.43,105.8,102.4,72.8,+.009,-1.08,104.7,105.8,-1.24
132,132,Florida Gulf Coast,ASun,23-11,+3.42,108.3,104.9,71.2,-.054,-7.46,102.5,109.9,-0.55
133,133,Rutgers,B10,15-19,+2.94,99.5,96.5,66.0,-.043,+5.67,108.6,102.9,-14.06
134,134,Iona,MAAC,20-13,+2.87,110.3,107.4,70.7,-.022,-2.39,103.3,105.7,+2.26
135,135,Wright St.,Horz,25-9,+2.82,101.1,98.3,68.2,+.056,-4.78,102.6,107.4,+2.30
136,136,Utah St.,MWC,17-17,+2.66,107.6,104.9,66.8,-.014,+3.09,107.2,104.1,-0.66
137,137,Southern Illinois,MVC,20-13,+2.66,106.4,103.7,66.6,+.073,+1.39,104.9,103.6,-3.72
138,138,Evansville,MVC,17-15,+2.66,99.5,96.8,65.7,+.015,+1.46,105.8,104.3,-3.24
139,139,Rider,MAAC,22-9,+2.51,109.3,106.8,73.6,+.095,-2.88,103.3,106.2,+0.64
140,140,UC Irvine,BW,18-17,+2.50,100.5,98.0,66.9,-.025,+1.74,106.4,104.7,+9.62
141,141,VCU,A10,18-15,+2.31,106.4,104.1,70.9,+.015,+0.80,105.7,104.9,+1.34
142,142,San Francisco,WCC,18-15,+2.25,103.1,100.9,66.5,+.043,+1.32,107.6,106.3,-1.04
143,143,Indiana St.,MVC,13-18,+2.24,104.8,102.5,69.9,-.097,+3.00,105.5,102.5,+1.54
144,144,Harvard,Ivy,18-13,+2.14,101.4,99.3,65.5,+.000,-1.26,105.3,106.6,+3.72
145,145,Illinois St.,MVC,18-15,+2.12,105.8,103.7,68.9,+.116,+4.99,106.6,101.6,+6.83
146,146,Saint Louis,A10,17-16,+2.12,102.4,100.3,64.1,+.003,+1.54,107.3,105.8,+1.29
147,147,Eastern Michigan,MAC,21-12,+2.08,103.4,101.3,64.5,+.004,-2.30,105.6,107.9,-2.09
148,148,Mercer,SC,18-14,+1.86,112.1,110.2,63.9,-.069,-3.38,103.0,106.4,+0.23
149,149,Jacksonville St.,OVC,21-12,+1.81,102.2,100.3,65.9,-.026,-5.28,103.5,108.8,-9.10
150,150,Georgia Southern,SB,21-12,+1.76,106.3,104.6,68.8,+.015,-2.12,103.4,105.5,-1.24
151,151,Valparaiso,MVC,15-17,+1.63,103.2,101.6,69.6,-.053,+1.74,105.5,103.7,-2.32
152,152,Albany,AE,22-10,+1.44,107.3,105.9,66.1,+.007,-6.42,101.8,108.2,-4.89
153,153,Cal St. Fullerton,BW,20-11,+1.32,105.0,103.7,69.5,+.089,-1.28,103.9,105.1,+3.47
154,154,Drake,MVC,16-16,+1.23,106.8,105.6,68.0,+.014,+2.59,106.0,103.4,+0.13
155,155,Louisiana Tech,CUSA,17-16,+1.21,106.9,105.7,67.3,-.067,-0.87,104.1,105.0,-3.00
156,156,Fort Wayne,Sum,18-14,+1.17,107.6,106.4,72.6,-.062,-1.99,104.9,106.9,-2.40
157,157,Wofford,SC,21-12,+1.11,108.7,107.6,65.9,+.058,-2.13,104.2,106.3,+2.33
158,158,La Salle,A10,13-19,+1.06,105.2,104.1,68.9,-.072,+1.46,106.1,104.6,+2.49
159,159,Weber St.,BSky,20-11,+1.03,107.1,106.1,67.6,+.037,-2.51,104.4,106.9,+0.19
160,160,Towson,CAA,18-14,+1.02,106.1,105.1,67.9,-.070,-2.80,105.2,108.0,-2.35
161,161,Memphis,Amer,21-13,+0.95,107.9,107.0,66.5,+.135,+0.85,105.2,104.3,-6.07
162,162,Hofstra,CAA,19-12,+0.81,111.3,110.5,68.8,+.062,-1.66,105.9,107.6,+2.27
163,163,Winthrop,BSth,19-12,+0.76,106.3,105.6,71.6,-.037,-5.38,102.0,107.4,+2.54
164,164,Portland St.,BSky,20-13,+0.75,108.6,107.9,74.8,+.036,-0.53,105.5,106.0,+3.88
165,165,Lipscomb,ASun,23-9,+0.36,103.8,103.4,74.9,+.114,-4.94,103.2,108.1,+6.07
166,166,Pacific,WCC,14-18,+0.24,107.3,107.0,66.3,-.016,+2.19,106.6,104.5,+2.35
167,167,Tulane,Amer,14-17,+0.18,107.2,107.0,68.9,-.018,+1.16,105.3,104.1,-5.87
168,168,Dayton,A10,14-17,+0.08,108.7,108.6,66.2,-.004,+1.69,106.1,104.4,+1.70
169,169,North Dakota St.,Sum,15-17,-0.03,105.6,105.6,66.4,-.078,+0.52,106.9,106.3,+1.88
170,170,Radford,BSth,22-12,-0.05,103.6,103.6,62.7,+.044,-4.43,102.7,107.1,+4.01
171,171,Wagner,NEC,23-9,-0.10,103.8,103.9,67.3,+.069,-8.51,101.5,110.0,+0.23
172,172,William & Mary,CAA,19-12,-0.11,115.4,115.6,70.0,+.098,-0.70,106.0,106.7,+3.61
173,173,Connecticut,Amer,14-18,-0.25,105.3,105.6,66.9,+.075,+6.37,108.3,102.0,+5.28
174,174,Ball St.,MAC,19-13,-0.31,103.6,103.9,69.9,+.060,-2.06,104.9,107.0,-1.27
175,175,UTSA,CUSA,19-14,-0.31,105.3,105.6,71.6,+.041,-1.01,104.2,105.2,+1.62
176,176,Troy,SB,16-17,-0.38,106.4,106.8,68.2,-.065,-0.93,104.2,105.1,-0.11
177,177,Central Michigan,MAC,19-14,-0.46,108.1,108.5,67.2,-.045,-3.95,103.3,107.2,-9.02
178,178,Oakland,Horz,19-14,-0.76,107.3,108.1,70.3,+.011,-4.69,102.9,107.6,+1.35
